Author,Published At,Likes,Comment
fanta 101516,2023-07-23T07:13:08Z,0,로지님의 군더더기없는 깔끔한 영상보니 원래 다시 가고싶은 여행지였던 교토가 더 혼자 꼭 가보고싶은 여행지가 되어버렸네요❤
Hyun,2023-07-23T05:57:54Z,0,곧 교토여행가는데 정말 많은 정보 알아가요!! 😃 스시집은 정말 꼭 가보려구요!! 좋은정보 감사합니다:)
Sunwoo Lee,2023-07-21T08:04:54Z,0,표살때 두장 나온거 한장은 영수증이에요. 😅😂😊
뚜시,2023-07-12T16:42:20Z,0,로지님..멜빵 정보알수있을까요?..🥹🤍
쨔로그,2023-07-11T21:53:06Z,0,"로지님이 맛있다고 하신 도쿄 그랑스타 Be.. 혹시 구글지도에 뭐라고 쳐야 나올까요??😂 저도 피스타치오 감,, 먹어보고싶읍니다 ㅎㅎㅎㅎ"
nanuenjjae,2023-07-11T16:40:14Z,0,스님 p야? ㅋㅋㅋ
S_caffeine,2023-07-11T12:49:16Z,0,제가 갔던 쿄토랑 또다른 분위기 많이 느끼고 갑니다🤍
aco chan,2023-07-11T08:03:05Z,0,スタイル良くて羨ましい❤
푸른 솔,2023-07-10T23:04:26Z,0,스시산시 구글맵에 안나와요ㅠㅠ 뭐라쳐야할까요😂
taka03,2023-07-10T22:48:07Z,1,いつも 映像 きれいですね〜
taka03,2023-07-10T22:47:02Z,0,로지 상 콘니치와   혹시 또 왔어?
Haerim Oh,2023-07-10T15:23:02Z,1,우와 호센인이라는 곳 처음 보는데 마음이 너무 편해지면서도 너무 예뻐서 설레기도 하고 그런 곳이네요 나중에 꼭 가봐야겠어요💚🌿 로지님 좋은 영상 감사합니다🫶
_랑,2023-07-10T15:14:42Z,1,보안검색에서 푸딩이랑 초밥 패스 해주시던가요 ..?
송구리당당,2023-07-10T14:53:14Z,0,고등어초밥 다시마 벗기고 먹는 걸로 알고 있어용!
Nam,2023-07-10T13:16:33Z,0,로지님 안경 궁금해오 ....🤍
y m,2023-07-10T12:20:16Z,2,로지님 안녕하세요😊😊 저도 지난주 금요일에 혼자 교토 여행 갔다가 어제 돌아왔어요! 맛집이나 동선이 많이 겹쳐서 로지님 영상 너무 재밌게 봤네요! 한국 온 지 하루밖에 안 됐는데 벌써 또 가고싶네요.... 가을에 또 갈까봐요ㅎㅎ❤ 좋은 정보들도 감사해요 혼여행 좋아하는데 지구 어디선가 로지님 마주친다면 넘 반가울 것 같아요오☺️☺️ 예전 영상부터 봐온 구독자인데 유튜브 오래오래 해주세요🫶🏻🫶🏻
서니,2023-07-10T11:16:35Z,0,혹시 영상 뭐로 촬영하셨는지 물어봐도 될가욤...?
Claire,2023-07-10T10:10:50Z,1,영상을 너무 잘찍음 유용하고 힐링되요
BH J,2023-07-10T09:07:18Z,1,"로지님 이번 영상도 넘 취저에여,! 혹시 오마카세 오버롤 정보 알 수 있을까요..!"
노랑,2023-07-10T08:50:08Z,2,덕분에 조만간 혼자 교토여행을 계획하게 되었어요! 로지님을 알게되어 행복해요:)
조혜린,2023-07-10T08:13:58Z,1,마음정화 힐링 하는 로지님 영상.. 후후.. 교토 가고싶네여🤭
재니,2023-07-10T06:28:00Z,0,로지님 오키오키 오키나와두 가주시면 앙대요..?
응가,2023-07-10T06:26:13Z,14,로지님 여행 브이로그 정말정말 좋아해요.. 정말 1년 내내 여행 다니시면서 영상 찍어주셨으면 좋겠을 만큼 ㅋㅋㅋ 암튼 계속해서 돌려보게되는 영상이에요
hororo,2023-07-10T06:00:57Z,2,로지님 안경쓰 넘 이뻐용ㅋㅋㅋ 품번좀 알려주세영 따라살테야
만두민,2023-07-10T05:36:45Z,1,영상 잘 볼게요!🩵 정보 공유도 항상 감사합니다🫶🏻
Hj Kim,2023-07-10T04:59:19Z,1,로지님 영상 넘 잼나게 보고있어요 ^^마지막날 입으신 화이트 원피스 정보 좀 부탁드려요 ^^
니뇽뇽,2023-07-10T04:59:09Z,1,교토에 오래 묵어 보고 싶네요 ❤
jazzy,2023-07-10T04:40:26Z,1,너무 기다렸어요!
은아,2023-07-10T04:30:46Z,0,구글맵에 ’하코‘라고 검색하면 따로 안뜨는데 어떤 이름으로 검색하면 될까요? 🥺🥺🥺
ヒロシです,2023-07-10T04:25:35Z,0,"今日は♬ロッジ💕
京都でも渋い所に、苔が綺麗だね厄年？でも京都で厄を払ったから大丈夫🙆‍♂️
あと寿司屋2万たか！
韓国でファイティン💕"
mingmin6,2023-07-10T04:14:40Z,0,3번째 영상 왜안오나 기다렷어요!! 요거보며 월요병 극복할게요^^그리구 붙임머리 계속하고 계신거죠??할만한가요??ㅎㅎ
달콤당근,2023-07-10T03:42:19Z,1,21:15 수박 ㅠㅠ 그런데 샌드위치 색은 너무 이뻐요! 알록달록 ^^;
Jenie P,2023-07-10T03:16:05Z,3,로지님 너무 좋아용❤❤ 늘 재밌는 영상 감사합니당❤
킴수KIMSOO,2023-07-10T02:21:47Z,1,너무 재밌어여 너무..
log jeju,2023-07-10T02:04:04Z,1,"타마고 바게트 꼭 드세요!!! 
저번에 와까메우동은 미역우동인데 (소바면도 가능)
오하라 시소음료 드신 곳 거기 제일 입구쪽 가게에요.
젠 차가 정말 좋죠?! ㅎ"
코윈조아♡,2023-07-10T01:45:54Z,1,힐링 영상!!!   ❤❤❤❤  감사합니다. 꾸벅!
미미,2023-07-10T01:35:33Z,1,로지님 안경 정보가 궁금합니다..!! 너무 잘 어울리세요😌😌
ᴋɪᴍ,2023-07-09T23:38:10Z,5,아무 계획없이 교토!! 어제 밤에 도착한 1일인이에요. 원래 파워j인데 너무 지친 상태로 온거라 계획없이 돌아다니는게 제 ㄱㅖ획이에요 교토 숙소에서 누워서 보는 로지님 영상이라니 ㅜㅜ 영상 도움 많이 되고 있습니다 슬슬 일어나서 준비해볼게요 영상 감사합니다 :)
찔레꽃,2023-07-09T23:22:44Z,7,"호센인의 정원 스님이 기도하실 때 로지님이 바라 본 풍경이 제일 기악에 남네요, 정말 근사해요.   차와 함께 하는 시간  좋아요"
지니쓰채널,2023-07-09T23:01:02Z,0,오와
